Symbol;Frequency
10;1
12;2
14;2
15;4
16;3
17;9
18;22
19;41
20;68
21;134
22;178
23;329
24;424
25;652
26;914
27;1212
28;1401
29;1539
30;1783
31;1966
32;1903
33;1836
34;1825
35;1910
36;1729
37;1618
38;1479
39;1676
40;1572
41;1528
42;1668
43;1736
44;1626
45;1646
46;1616
47;1719
48;1687
49;1516
50;1411
51;1538
52;1344
53;1298
54;1263
55;1219
56;1176
57;1093
58;1090
59;1071
60;1098
61;983
62;942
63;958
64;1109
65;887
66;924
67;942
68;981
69;915
70;936
71;998
72;986
73;1029
74;977
75;970
76;1082
77;1009
78;1051
79;1006
80;1117
81;1117
82;1171
83;1153
84;1248
85;1249
86;1283
87;1231
88;1363
89;1412
90;1326
91;1348
92;1429
93;1501
94;1435
95;1476
96;1553
97;1686
98;1666
99;1731
100;1905
101;2076
102;1838
103;1889
104;1792
105;1953
106;1772
107;1609
108;1703
109;1657
110;1529
111;1493
112;1433
113;1646
114;1524
115;1600
116;1512
117;1581
118;1448
119;1520
120;1581
121;1639
122;1629
123;1583
124;1544
125;1629
126;1704
127;1580
128;1511
129;1532
130;1564
131;1448
132;1401
133;1353
134;1420
135;1345
136;1243
137;1221
138;1333
139;1321
140;1267
141;1285
142;1320
143;1420
144;1303
145;1380
146;1384
147;1471
148;1430
149;1433
150;1579
151;1684
152;1665
153;1713
154;1923
155;2014
156;2032
157;1979
158;1993
159;2217
160;2007
161;1899
162;1874
163;1916
164;1711
165;1634
166;1486
167;1555
168;1307
169;1188
170;1223
171;1260
172;1162
173;1105
174;1092
175;1019
176;1016
177;932
178;948
179;932
180;892
181;863
182;856
183;951
184;929
185;875
186;906
187;899
188;909
189;885
190;791
191;845
192;793
193;785
194;821
195;887
196;890
197;848
198;857
199;846
200;951
201;903
202;1018
203;968
204;1178
205;1112
206;1097
207;1028
208;1085
209;967
210;783
211;816
212;868
213;760
214;716
215;635
216;633
217;584
218;556
219;497
220;481
221;391
222;303
223;274
224;229
225;227
226;224
227;212
228;192
229;222
230;183
231;168
232;172
233;180
234;143
235;130
236;117
237;69
238;67
239;35
240;29
241;19
242;4
243;8
244;5
245;2
246;1
